"campaignid","sample","family","genus","species","length","number","range"
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",76.41225,1,2460.5324
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",79.89234,1,2416.68014
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",75.48745,1,1845.76232
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",79.46817,1,2092.50516
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",70.62834,1,2782.58899
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",74.59777,1,2027.16448
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",69.19749,1,2787.39343
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",79.25179,1,1541.49965
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",73.49328,1,3054.326
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",75.97569,1,1775.04919
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",78.02273,1,1956.38209
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",139.90192,1,1906.59622
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",179.50324,1,1524.28866
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",168.73364,1,2143.18599
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",131.40395,1,2270.0943
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",174.11807,1,1317.2424
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",150.20986,1,1388.37
"2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",772.90232,1,1612.34727
"2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",856.35485,1,3701.60175
