"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-10_south-west_stereo-BRUVs","IO216","IO","Legacy",-34.06118897,114.9163721,20201029,"10:33:00","South-west","No-take","C.IO.3",47.5,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO217","IO","Legacy",-34.06618897,114.9188721,20201016,"12:43:00","South-west","No-take","C.IO.2",47.1,"Claude","Yes","Yes","National Park Zone",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO218","IO","Legacy",-34.07368897,114.9213721,20201016,"12:28:00","South-west","No-take","C.IO.2",46.8,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO220","IO","Legacy",-34.05618897,114.8438721,20201015,"14:39:00","South-west","No-take","C.IO.5",43.7,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO222","IO","Legacy",-34.06618897,114.8313721,20201015,"14:54:00","South-west","No-take","C.IO.4",45,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO223","IO","Legacy",-34.07118897,114.8463721,20201015,"14:25:00","South-west","No-take","C.IO.4",42.9,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO224","IO","Legacy",-34.06118897,114.8388721,20201015,"14:35:00","South-west","No-take","C.IO.4",43.6,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO225","IO","Legacy",-34.07118897,114.8338721,20201015,"14:20:00","South-west","No-take","C.IO.4",44.9,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO226","IO","Legacy",-34.06368897,114.8438721,20201015,"14:32:00","South-west","No-take","C.IO.4",42.8,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO227","IO","MBH",-33.99868897,114.7838721,20201019,"6:37:00","South-west","Fished","C.IO.42",52.9,"Ramesh","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO228","IO","MBH",-34.00368897,114.7938721,20201019,"6:46:00","South-west","Fished","C.IO.42",50.4,"Rachel","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO229","IO","MBH",-33.99368897,114.7863721,20201019,"6:31:00","South-west","Fished","C.IO.42",53,"Ramesh","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO235","IO","Legacy",-34.06618897,114.9138721,20201016,"12:49:00","South-west","No-take","C.IO.2",46.5,"Daphne","Yes","No","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO236","IO","Legacy",-34.08118897,114.9238721,20201016,"12:22:00","South-west","No-take","C.IO.1",46.8,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO237","IO","Legacy",-34.08118897,114.9363721,20201016,"12:15:00","South-west","No-take","C.IO.1",43.2,"Hayley","Yes","Yes",NA,"Cape Freycinet Sanctuary Zone","RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO239","IO","Legacy",-34.09118897,114.9313721,20201016,"12:05:00","South-west","No-take","C.IO.1",45.9,"Hayley","Yes","Yes",NA,"Cape Freycinet Sanctuary Zone","RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO241","IO","MBH",-33.99368897,114.7913721,20201019,"6:26:00","South-west","Fished","C.IO.42",50.6,"Ramesh","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO244","IO","MBH",-34.00368897,114.9063721,20201019,"11:35:00","South-west","Fished","C.IO.47",44.7,"Ramesh","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO245","IO","MBH",-34.00868897,114.9013721,20201019,"11:30:00","South-west","Fished","C.IO.47",42.3,"Ramesh","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO253","IO","MBH",-34.01368897,114.7038721,20201123,"12:15","South-west","Fished","C.IO.49",124,"Brooke Gibbons","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO254","IO","MBH",-34.01868897,114.6963721,20201123,"12:10","South-west","Fished","C.IO.49",119,"Rachel","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW5.5",NA
"2020-10_south-west_stereo-BRUVs","IO258","IO","Legacy",-33.96618897,114.9138721,20201019,"12:05:00","South-west","Fished","C.IO.20",45.2,"Ramesh","Yes","Yes",NA,NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO259","IO","Legacy",-33.96868897,114.9213721,20201019,"12:00:00","South-west","Fished","C.IO.20",46.8,"Rachel","Yes","Yes",NA,NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO260","IO","Legacy",-33.97118897,114.9163721,20201019,"11:55:00","South-west","Fished","C.IO.20",46.3,"Rachel","Yes","Yes",NA,NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO261","IO","Legacy",-33.97618897,114.9213721,20201019,"11:46:00","South-west","Fished","C.IO.20",46.9,"Ramesh","Yes","Yes",NA,NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO262","IO","Legacy",-34.01368897,114.8738721,20201019,"9:46:00","South-west","Fished","C.IO.19",41.9,"Rachel","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO263","IO","Legacy",-34.00868897,114.8788721,20201019,"9:52:00","South-west","Fished","C.IO.19",42.4,"Brooke Gibbons","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO264","IO","Legacy",-34.01868897,114.8738721,20201019,"9:31:00","South-west","Fished","C.IO.19",42,"Brooke Gibbons","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO266","IO","Legacy",-34.02118897,114.7588721,20201015,"8:06:00","South-west","Fished","C.IO.23",67.3,"Hayley","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO267","IO","Legacy",-34.02618897,114.7638721,20201015,"8:11:00","South-west","Fished","C.IO.23",62.5,"Daphne","Yes","No","Special Purpose Zone (Mining Exclusion)",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO269","IO","Legacy",-33.98868897,114.8138721,20201019,"7:18:00","South-west","Fished","C.IO.22",47.6,"Brooke Gibbons","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO272","IO","Legacy",-34.00868897,114.8138721,20201019,"6:56:00","South-west","Fished","C.IO.21",49.2,"Daphne","Yes","No","Special Purpose Zone (Mining Exclusion)",NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO273","IO","Legacy",-33.99868897,114.8213721,20201019,"7:07:00","South-west","Fished","C.IO.22",44.9,"Rachel","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3",NA
