"id","campaignid","sample","family","genus","species","length","range","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",74.76894,1781.3037,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.82854,1890.75723,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.05033,1490.45957,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",73.96251,1209.75229,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",40.25179,1851.0069,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",42.9374,2118.49057,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",45.70037,1616.38314,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",48.48096,1852.52191,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",44.34786,1972.8181,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",39.06246,1917.59338,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",37.56162,1785.52999,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",58.54145,1247.56133,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",65.1639,2365.19504,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",64.52059,2059.10404,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",44.15404,2080.37984,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.27181,1946.10553,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.37574,1703.87003,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",43.82203,2429.51321,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",53.60178,1426.13449,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.9469,1906.41254,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",53.72889,1828.00759,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Scorpididae","Tilodon","sexfasciatus",326.08301,3443.46723,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",148.2794,2006.93166,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",126.92704,2044.65261,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",170.07629,1989.82356,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",166.58498,1582.90659,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",132.54113,1793.68479,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
