Dot Point Measurements

Generated: Wednesday 08 May 2024 13:20:55

Filename	Frame	Time (mins)	Image row	Image col	test										campaignid	relief_annotated	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		86.3
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		96.2
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									62.3
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									44.6
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		44.1
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		61.3
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									46.3
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									16.0
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		14.6
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		45.0
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									64.7
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									47.9
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		47.5
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		63.8
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									100.0
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									90.1
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.8
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		99.4
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		663	631											2024_Albany_stereo-BRUVs	yes									38.0
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									100.0
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									89.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		89.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		100.0
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									64.2
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									46.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		46.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.2
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									46.5
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.5
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		15.5
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		46.5
