"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"depth_m+mean_relief...44","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",72.1965530497914,84.4165586055259,0.02596,NA,4.29,0,1.108,7.416,0.042,0.009,0,0,0,0,1,1,0,0.452
"depth_m+mean_relief+sd_relief...45","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",72.2491441802399,84.8196857938415,0.03492,NA,4.75,0,1.16,7.819,0.04,0.007,0,0,0,0,1,1,1,0.492
"distance_from_access...46","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"")",72.2537012133689,79.9830088690785,0.01695,NA,2,0,1.165,2.982,0.04,0.081,1,0,0,0,0,0,0,0.532
"mean_relief...47","Legal KGW","s(mean_relief, k = 3, bs = ""cr"")",72.67354636525,80.6042749254278,0.01088,NA,2.06,0,1.585,3.604,0.033,0.059,0,0,0,0,0,1,0,0.565
"distance_from_access+sd_relief+unconsolidated...48","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",72.6989683669297,83.8087358588098,0.05883,NA,4,0,1.61,6.808,0.032,0.012,1,1,0,0,0,0,1,0.597
"depth_m+seagrasses...49","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",72.9050864631403,83.8949644802319,0.0197,NA,3.73,0,1.816,6.894,0.029,0.011,0,0,0,1,1,0,0,0.626
"distance_from_access+macroalgae...50","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",73.0672331136732,84.03749387964,0.03471,NA,3.71,0,1.978,7.037,0.027,0.011,1,0,1,0,0,0,0,0.653
"depth_m+macroalgae+sd_relief...51","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",73.0768330822075,85.604739690211,0.06209,NA,4.7,0,1.988,8.604,0.027,0.005,0,0,1,0,1,0,1,0.68
"macroalgae+seagrasses...52","Legal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",73.2849703835291,84.2924784436092,0.03273,NA,3.75,0,2.196,7.292,0.024,0.009,0,0,1,1,0,0,0,0.704
"seagrasses...53","Legal KGW","s(seagrasses, k = 3, bs = ""cr"")",73.3165555821111,81.0457839398642,0.00184,NA,2,0,2.228,4.045,0.024,0.047,0,0,0,1,0,0,0,0.728
"depth_m+distance_from_access...54","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"")",73.3584092233943,84.3906149449103,0.03023,NA,3.78,0,2.269,7.39,0.023,0.009,1,0,0,0,1,0,0,0.751
